主工事,工事分類,工事補助分類,工事補助分類2
1.冷凍機更新工事(前期),1.除却工事,1.配管工事,
1.冷凍機更新工事(前期),1.除却工事,2.基礎工事,
1.冷凍機更新工事(前期),1.除却工事,3.重量物撤去工事,
1.冷凍機更新工事(前期),1.除却工事,4.電気工事,
1.冷凍機更新工事(前期),1.除却工事,5.計装工事,
1.冷凍機更新工事(前期),2.更新工事,1.配管工事,1.冷水配管（行）
1.冷凍機更新工事(前期),2.更新工事,1.配管工事,2.冷水配管（環）
1.冷凍機更新工事(前期),2.更新工事,1.配管工事,3.冷却水配管（行）
1.冷凍機更新工事(前期),2.更新工事,1.配管工事,4.冷却水配管（環）
1.冷凍機更新工事(前期),2.更新工事,1.配管工事,5.小配管（エア抜き）
1.冷凍機更新工事(前期),2.更新工事,1.配管工事,6.小配管（排水）
1.冷凍機更新工事(前期),2.更新工事,2.基礎工事,
1.冷凍機更新工事(前期),2.更新工事,3.重量物据え付け,
1.冷凍機更新工事(前期),2.更新工事,4.電気工事,
1.冷凍機更新工事(前期),2.更新工事,5.計装工事,
